,mean_IG,mean_DL,mean_GS,mean_GB,mean_IXG,feature_names,borda_rank
1831,9.807208723842214e-05,-7.685592263647299e-07,9.464580744105455e-06,0.0011528063815353,0.0001111119071875,TFs_and_others_NCOR1,2781.0
1068,0.0003146949128159,-8.876613014887699e-07,8.660019570888038e-06,0.0012193588704824,3.3799908869742785e-05,TFs_and_others_HNF1A,2792.0
1198,0.0001245282691466,-3.387453896026984e-07,1.822812588333083e-05,0.001065209333262,3.321129816524727e-05,TFs_and_others_E2F5,2798.0
660,7.040103298779421e-05,4.6794721271825694e-09,5.826262989061057e-07,0.0008526327831059,1.799401714764566e-05,TFs_and_others_PSIP1,2810.0
791,1.39713213750777e-06,5.502426444345551e-08,2.3959687899185134e-06,0.0009372082080271,9.18331871854805e-06,TFs_and_others_ZNF615,2811.0
1060,0.0001346915002904,-3.5957416608217655e-08,4.6271333196142713e-07,0.0011097691374738,6.188899691874413e-05,TFs_and_others_CTBP2,2811.0
1694,0.0001824004640419,-4.373575924075041e-07,1.7907089958188424e-05,0.0010034295775606,5.2223171513523874e-05,Histone_H3K28ac,2819.0
800,4.801482027912994e-05,7.112937404568806e-09,1.7989107154291085e-07,0.0008581074401633,2.0883870578631343e-05,TFs_and_others_BRD8,2821.0
868,4.635952635850832e-05,1.0857071913535911e-06,-4.111201161717508e-05,0.0010139481754508,0.0001774773184446,TFs_and_others_ZBTB11,2824.0
1106,0.0005753235276701,-2.423663195708257e-07,2.9610242767038192e-06,0.0010157966196703,0.0001062563942414,TFs_and_others_NFKB2,2831.0
1054,0.0003498515453606,-1.0227728545005872e-08,7.818436454953322e-07,0.000969867594826,2.331395142831246e-05,TFs_and_others_ZNF142,2846.0
136,5.30877566344204e-05,-2.957759096927005e-08,5.58686338776868e-06,0.001020215577763,4.4935488204361726e-05,TFs_and_others_ZNF891,2850.0
1272,0.0002007880803245,-3.1572622359945214e-07,2.0951290368409763e-05,0.0009166692854346,0.000100591792275,TFs_and_others_DRAP1,2851.0
310,0.0001069673216167,-1.579742273571751e-07,1.4669770106418598e-05,0.0010542554620859,2.298801756194336e-05,TFs_and_others_CLOCK,2853.0
1481,0.0017493384667251,-1.4963989416629544e-05,6.798805187508869e-07,0.0013632282900577,0.0005902460392744,TFs_and_others_E2F6,2853.0
956,6.610280170738109e-05,6.369398323349664e-10,-1.0142809501994175e-07,0.0010333271721524,2.9707795967301705e-05,TFs_and_others_BRD1,2859.0
